,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
0,"SOLID TUMOR, ADULT","February 08, 2021",1000,NCT00571389,,UNITED STATES,Recruiting,"BioCytics, Inc.",November 2007,Observational,"A Study to Facilitate Development of an Ex-Vivo Device Platform for Circulating Tumor Cell and Immune Cell Harvesting, Banking, and Apoptosis-Viability Assay",Unrelated
1,HAIRY CELL LEUKEMIA (HCL),"February 08, 2021",1263,NCT01087333,,UNITED STATES,Recruiting,National Cancer Institute (NCI),"March 2, 2010",Observational,Collection of Human Samples to Study Hairy Cell and Other Leukemias and to Develop Recombinant Immunotoxins for Cancer Treatment,Unrelated
2,BREAST CANCER,"February 08, 2021",935,NCT01134172,SURVEY WEB-BASED OR TELEPHONE INTERVIEW,UNITED STATES,"Active, not recruiting",Memorial Sloan Kettering Cancer Center,May 2010,Observational,"Breast Cancer and the Workforce: Ethnic Differences in the Impact of Breast Cancer on Employment Status, Financial Situation, and Quality of Life (BCW)",Unrelated
3,ANOGENITAL HERPES,"February 08, 2021",1000,NCT01306084,,UNITED STATES,Recruiting,National Institute of Allergy and Infectious Diseases (NIAID),"March 15, 2011",Observational,Viral Infections in Healthy and Immunocompromised Hosts,Unrelated
4,HIV-1 INFECTION,"February 08, 2021",334,NCT01435018,ETOPOSIDE (ET),BRAZIL,Completed,AIDS Clinical Trials Group,"October 1, 2013",Interventional,A Randomized Comparison of Three Regimens of Chemotherapy With Compatible Antiretroviral Therapy for Treatment of Advanced AIDS-KS in Resource-Limited Settings,Unrelated
5,CANCER PATIENTS,"February 08, 2021",668,NCT01603316,SURVEYS,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"May 8, 2012",Interventional,Food: A Three-Arm Randomized Controlled Study Examining Food Insecurity Interventions,Unrelated
6,COMPLICATIONS; CESAREAN SECTION,"February 08, 2021",608,NCT02495753,VAGINAL CLEANSING,UNITED STATES,Recruiting,Washington University School of Medicine,August 2015,Interventional,Vaginal Cleansing Before Cesarean Delivery to Reduce Infection: A Randomized Trial,Unrelated
7,COMMUNITY ACQUIRED PNEUMONIA,"February 08, 2021",1200,NCT02517489,HYDROCORTISONE,FRANCE,Recruiting,"University Hospital, Tours","October 28, 2015",Interventional,Effects of Low-dose Corticosteroids on Survival of Severe Community-acquired Pneumonia,Respiratory
8,HYPERTROPHIC CARDIOMYOPATHY,"February 08, 2021",4299,NCT02549664,,AUSTRALIA,"Active, not recruiting",Yale University,May 2015,Observational [Patient Registry],"Exercise in Genetic Cardiovascular Conditions (Lifestyle and Exercise in Hypertrophic Cardiomyopathy ""LIVE-HCM""/Lifestyle and Exercise in the Long QT Syndrome ""LIVE-LQTS""",Unrelated
9,UVEITIS,"February 08, 2021",650,NCT02656381,,UNITED STATES,Recruiting,National Eye Institute (NEI),"July 26, 2016",Observational,Uveitis/Intraocular Inflammatory Disease Biobank (iBank),Unrelated
10,TRANSIENT ISCHEMIC ATTACK,"February 08, 2021",88,NCT02669394,RESISTANCE EXERCISE TRAINING,CANADA,Recruiting,University of British Columbia,January 2016,Interventional,Reshaping the Path of Vascular Cognitive Impairment With Resistance Training,Unrelated
11,"COMMUNITY-ACQUIRED PNEUMONIA, INFLUENZA, COVID","February 08, 2021",7100,NCT02735707,FIXED-DURATION HYDROCORTISONE,AUSTRALIA,Recruiting,MJM Bonten,"April 11, 2016",Interventional,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia",COVID
12,MILD COGNITIVE IMPAIRMENT,"February 08, 2021",216,NCT02737878,AEROBIC TRAINING,CANADA,Recruiting,University of British Columbia,April 2016,Interventional,Reshaping the Path of Mild Cognitive Impairment by Refining Exercise Prescription: Understanding Training Type and Exploring Mechanisms,Unrelated
13,"SEPSIS, SEVERE","February 08, 2021",20,NCT02765191,PLASMA EXPANSION WITH RINGER'S ACETATE,SWEDEN,Recruiting,Uppsala University,April 2016,Interventional,MR-Evaluation of Renal Function In Septic Patients,Unrelated
14,OBESITY,"February 08, 2021",2000000,NCT02788903,WEIGHT COUNSELING,,"Active, not recruiting",Milton S. Hershey Medical Center,March 2016,Observational,A Patient-Centered PaTH to Addressing Diabetes: Impact of State Health Policies on Diabetes Outcomes and Disparities,Unrelated
15,BREAST CANCER,"February 08, 2021",182,NCT02793921,MODERATE-INTENSITY AEROBIC EXERCISE INTERVENTION,UNITED STATES,Recruiting,University of Pittsburgh,April 2016,Interventional,Influence of Exercise on Neurocognitive Function in Breast Cancer,Unrelated
16,ARTHRITIS,"February 08, 2021",4025,NCT02868983,INTEGRATION,UNITED STATES,"Active, not recruiting",University of Vermont,April 2016,Interventional,Integrating Behavioral Health and Primary Care for Comorbid Behavioral and Medical Problems,Unrelated
17,HEALTHY,"February 08, 2021",639,NCT02875301,150 MINUTES WEEK,UNITED STATES,Recruiting,University of Pittsburgh,"September 6, 2017",Interventional,Investigating Gains in Neurocognition in an Intervention Trial of Exercise,Unrelated
18,LUNG CANCER SCREENING,"February 08, 2021",200,NCT02899754,LUNG CANCER SCREENING DECISION TOOL,UNITED STATES,Recruiting,VA Office of Research and Development,"January 28, 2019",Interventional,Incorporating Veterans Preferences Into Lung Cancer Screening Decisions,Unrelated
19,ALCOHOL DEPENDENCE,"February 08, 2021",100,NCT02901041,ZONISAMIDE,UNITED STATES,"Active, not recruiting",Boston University Charles River Campus,"September 21, 2017",Interventional,Interdisciplinary Study of Two Novel Anticonvulsants in Alcoholism,Unrelated
20,PREVIOUSLY UNTREATED ACUTE MYELOID LEUKEMIA,"February 08, 2021",2000,NCT03013998,SAMALIZUMAB (BAML-16-001-S1),UNITED STATES,Recruiting,"Beat AML, LLC",November 2016,Interventional,A Master Protocol for Biomarker-Based Treatment of AML (The Beat AML Trial),Unrelated
21,OBESITY,"February 08, 2021",164,NCT03029507,ACT ENHANCED SHIPSHAPE,UNITED STATES,Recruiting,Veterans Medical Research Foundation,"December 8, 2017",Interventional,An Acceptance and Commitment Therapy (ACT)-Enhanced Weight Management and Fitness Program for Navy Personnel,Unrelated
22,ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",75,NCT03042143,HUMAN UMBILICAL CORD DERIVED CD362 ENRICHED MSCS,UNITED KINGDOM,Recruiting,Belfast Health and Social Care Trust,"January 7, 2019",Interventional,"Repair of Acute Respiratory Distress Syndrome by Stromal Cell Administration (REALIST): An Open Label Dose Escalation Phase 1 Trial Followed by a Randomized, Double-blind, Placebo-controlled Phase 2 Trial (COVID-19)",Respiratory
23,RESPIRATORY SYNCYTIAL VIRUS INFECTIONS,"February 08, 2021",32,NCT03102034,D46/NS2/N/ΔM2-2-HINDIII,UNITED STATES,Completed,National Institute of Allergy and Infectious Diseases (NIAID),"April 6, 2017",Interventional,"Phase I Placebo-Controlled Study of the Infectivity, Safety and Immunogenicity of a Single Dose of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine, D46/NS2/N/ΔM2-2-HindIII, Lot RSV#011B, Delivered as Nose Drops to RSV-Seronegative Infants 6 to 24 Months of Age",Respiratory
24,CROHN'S DISEASE,"February 08, 2021",1250,NCT03105102,PLACEBO FOR RISANKIZUMAB SC,ARGENTINA,Enrolling by invitation,AbbVie,"April 9, 2018",Interventional,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Crohn's Disease",Unrelated
25,CHRONIC LOW BACK PAIN,"February 08, 2021",766,NCT03115359,MINDFULNESS MEDITATION,UNITED STATES,Recruiting,"University of Wisconsin, Madison","June 30, 2017",Interventional,A Comparative Effectiveness Randomized Controlled Trial of Mindfulness Meditation Versus Cognitive Behavioral Therapy for Opioid-Treated Chronic Low Back Pain,Unrelated
26,MULTIPLE SCLEROSIS,"February 08, 2021",833,NCT03117881,DIRECTCAM,UNITED STATES,Recruiting,University of Alabama at Birmingham,"January 8, 2018",Interventional,Comparative Effectiveness Trial Between a Clinic- and Home-Based Complementary and Alternative Medicine Telerehabilitation Intervention for Adults With Multiple Sclerosis (MS),Unrelated
