,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
0,Isolation and Culture of Immune Cells and Circulating Tumor Cells From Peripheral Blood and Leukapheresis Products,"SOLID TUMOR, ADULT; HEALTHY DONORS; COVID DONORS","February 08, 2021",1000,NCT00571389,,UNITED STATES,Recruiting,"BioCytics, Inc.",November 2007,Observational,"A Study to Facilitate Development of an Ex-Vivo Device Platform for Circulating Tumor Cell and Immune Cell Harvesting, Banking, and Apoptosis-Viability Assay"
1,"Collection of Human Samples to Study Hairy Cell and Other Leukemias, and to Develop Recombinant Immunotoxins for Cancer Treatment",HAIRY CELL LEUKEMIA (HCL); CHRONIC LYMPHOCYTIC LEUKEMIA (CLL); NON-HODGKINS LYMPHOMA (NHL); CUTANEOUS T CELL LYMPHOMA (CTCL); ADULT T CELL LYMPHOMA (ATL),"February 08, 2021",1263,NCT01087333,,UNITED STATES,Recruiting,National Cancer Institute (NCI),"March 2, 2010",Observational,Collection of Human Samples to Study Hairy Cell and Other Leukemias and to Develop Recombinant Immunotoxins for Cancer Treatment
2,"Ethnic Differences in the Impact of Breast Cancer on Employment Status, Financial Situation, and Quality of Life",BREAST CANCER,"February 08, 2021",935,NCT01134172,SURVEY WEB-BASED OR TELEPHONE INTERVIEW; SURVEY WEB-BASED OR TELEPHONE INTERVIEW,UNITED STATES,"Active, not recruiting",Memorial Sloan Kettering Cancer Center,May 2010,Observational,"Breast Cancer and the Workforce: Ethnic Differences in the Impact of Breast Cancer on Employment Status, Financial Situation, and Quality of Life (BCW)"
3,Viral Infections in Healthy and Immunocompromised Hosts,ANOGENITAL HERPES; COVID; HERPES LABIALIS,"February 08, 2021",1000,NCT01306084,,UNITED STATES,Recruiting,National Institute of Allergy and Infectious Diseases (NIAID),"March 15, 2011",Observational,Viral Infections in Healthy and Immunocompromised Hosts
4,Three Chemo Regimens as an Adjunct to ART for Treatment of Advanced AIDS-KS,HIV-1 INFECTION,"February 08, 2021",334,NCT01435018,ETOPOSIDE (ET); BLEOMYCIN AND VINCRISTINE (BV); PACLITAXEL (PTX); CO-FORMULATED EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE (EFV/FTC/TDF),BRAZIL,Completed,AIDS Clinical Trials Group,"October 1, 2013",Interventional,A Randomized Comparison of Three Regimens of Chemotherapy With Compatible Antiretroviral Therapy for Treatment of Advanced AIDS-KS in Resource-Limited Settings
5,Food: A Three-Arm Study Examining Food Insecurity Interventions,CANCER PATIENTS,"February 08, 2021",668,NCT01603316,SURVEYS; FOCUS GROUPS,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"May 8, 2012",Interventional,Food: A Three-Arm Randomized Controlled Study Examining Food Insecurity Interventions
6,Vaginal Cleansing Before Cesarean Delivery to Reduce Infection,COMPLICATIONS; CESAREAN SECTION,"February 08, 2021",608,NCT02495753,VAGINAL CLEANSING; ABDOMINAL CLEANSING,UNITED STATES,Recruiting,Washington University School of Medicine,August 2015,Interventional,Vaginal Cleansing Before Cesarean Delivery to Reduce Infection: A Randomized Trial
7,Community-Acquired Pneumonia : Evaluation of Corticosteroids,COMMUNITY ACQUIRED PNEUMONIA,"February 08, 2021",1200,NCT02517489,HYDROCORTISONE; PLACEBO,FRANCE,Recruiting,"University Hospital, Tours","October 28, 2015",Interventional,Effects of Low-dose Corticosteroids on Survival of Severe Community-acquired Pneumonia
8,Exercise in Genetic Cardiovascular Conditions,HYPERTROPHIC CARDIOMYOPATHY; LONG QT SYNDROME,"February 08, 2021",4299,NCT02549664,,AUSTRALIA,"Active, not recruiting",Yale University,May 2015,Observational [Patient Registry],"Exercise in Genetic Cardiovascular Conditions (Lifestyle and Exercise in Hypertrophic Cardiomyopathy ""LIVE-HCM""/Lifestyle and Exercise in the Long QT Syndrome ""LIVE-LQTS"""
9,Uveitis/Intraocular Inflammatory Disease Biobank (iBank),UVEITIS,"February 08, 2021",650,NCT02656381,,UNITED STATES,Recruiting,National Eye Institute (NEI),"July 26, 2016",Observational,Uveitis/Intraocular Inflammatory Disease Biobank (iBank)
10,Reshaping the Path of Vascular Cognitive Impairment (VCI),TRANSIENT ISCHEMIC ATTACK; VASCULAR COGNITIVE IMPAIRMENT; SUBCORTICAL VASCULAR DEMENTIA,"February 08, 2021",88,NCT02669394,RESISTANCE EXERCISE TRAINING; CONTROL: STRETCHING AND RELAXATION PROGRAM,CANADA,Recruiting,University of British Columbia,January 2016,Interventional,Reshaping the Path of Vascular Cognitive Impairment With Resistance Training
11,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia","COMMUNITY-ACQUIRED PNEUMONIA, INFLUENZA, COVID","February 08, 2021",7100,NCT02735707,FIXED-DURATION HYDROCORTISONE; SHOCK-DEPENDENT HYDROCORTISONE; CEFTRIAXONE; MOXIFLOXACIN OR LEVOFLOXACIN; PIPERACILLIN-TAZOBACTAM; CEFTAROLINE; AMOXICILLIN-CLAVULANATE; MACROLIDE ADMINISTERED FOR 3-5 DAYS; MACROLIDE ADMINISTERED FOR UP TO 14 DAYS; FIVE-DAYS OSELTAMIVIR; TEN-DAYS OSELTAMIVIR; LOPINAVIR/RITONAVIR; HYDROXYCHLOROQUINE; HYDROXYCHLOROQUINE + LOPINAVIR/RITONAVIR; INTERFERON-Β1A; ANAKINRA; FIXED-DURATION HIGHER DOSE HYDROCORTISONE; TOCILIZUMAB; SARILUMAB; VITAMIN C; THERAPEUTIC ANTICOAGULATION; SIMVASTATIN; CONVALESCENT PLASMA; PROTOCOLISED MECHANICAL VENTILATION STRATEGY; ERITORAN; APREMILAST; ASPIRIN; CLOPIDOGREL; PRASUGREL; TICAGRELOR,AUSTRALIA,Recruiting,MJM Bonten,"April 11, 2016",Interventional,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia"
12,Reshaping the Path of Mild Cognitive Impairment by Refining Exercise Prescription,MILD COGNITIVE IMPAIRMENT,"February 08, 2021",216,NCT02737878,AEROBIC TRAINING; RESISTANCE TRAINING; BALANCE AND TONE TRAINING; BALANCE AND TONE TRAINING,CANADA,Recruiting,University of British Columbia,April 2016,Interventional,Reshaping the Path of Mild Cognitive Impairment by Refining Exercise Prescription: Understanding Training Type and Exploring Mechanisms
13,MR-Evaluation of Renal Function In Septic Patients,"SEPSIS, SEVERE; ACUTE KIDNEY INJURY; COVID","February 08, 2021",20,NCT02765191,PLASMA EXPANSION WITH RINGER'S ACETATE,SWEDEN,Recruiting,Uppsala University,April 2016,Interventional,MR-Evaluation of Renal Function In Septic Patients
14,A Patient-Centered PaTH to Addressing Diabetes,OBESITY; DIABETES; COVID,"February 08, 2021",2000000,NCT02788903,WEIGHT COUNSELING; TELEMEDICINE,,"Active, not recruiting",Milton S. Hershey Medical Center,March 2016,Observational,A Patient-Centered PaTH to Addressing Diabetes: Impact of State Health Policies on Diabetes Outcomes and Disparities
15,Exercise Program in Cancer and Cognition,BREAST CANCER,"February 08, 2021",182,NCT02793921,MODERATE-INTENSITY AEROBIC EXERCISE INTERVENTION,UNITED STATES,Recruiting,University of Pittsburgh,April 2016,Interventional,Influence of Exercise on Neurocognitive Function in Breast Cancer
16,Integrating Behavioral Health and Primary Care for Comorbid Behavioral and Medical Problems,ARTHRITIS; ASTHMA; CHRONIC OBSTRUCTIVE LUNG DISEASE; DIABETES; HEART FAILURE; HYPERTENSION; ANXIETY; CHRONIC PAIN; DEPRESSION; FIBROMYALGIA; INSOMNIA; IRRITABLE BOWEL SYNDROME; PROBLEM DRINKING; SUBSTANCE USE DISORDER,"February 08, 2021",4025,NCT02868983,INTEGRATION,UNITED STATES,"Active, not recruiting",University of Vermont,April 2016,Interventional,Integrating Behavioral Health and Primary Care for Comorbid Behavioral and Medical Problems
17,Investigating Gains in Neurocognition in an Intervention Trial of Exercise,"HEALTHY; COGNITIVE FUNCTION 1, SOCIAL","February 08, 2021",639,NCT02875301,150 MINUTES WEEK; 225 MINUTES WEEK; STRETCH AND TONE,UNITED STATES,Recruiting,University of Pittsburgh,"September 6, 2017",Interventional,Investigating Gains in Neurocognition in an Intervention Trial of Exercise
18,Lung Cancer Screening Decisions,LUNG CANCER SCREENING,"February 08, 2021",200,NCT02899754,LUNG CANCER SCREENING DECISION TOOL; CONTROL INTERVENTION,UNITED STATES,Recruiting,VA Office of Research and Development,"January 28, 2019",Interventional,Incorporating Veterans Preferences Into Lung Cancer Screening Decisions
19,Interdisciplinary Study of A Novel Anticonvulsant in Alcoholism,ALCOHOL DEPENDENCE,"February 08, 2021",100,NCT02901041,ZONISAMIDE; TAKE CONTROL; PLACEBO (FOR ZONISAMIDE),UNITED STATES,"Active, not recruiting",Boston University Charles River Campus,"September 21, 2017",Interventional,Interdisciplinary Study of Two Novel Anticonvulsants in Alcoholism
20,Study of Biomarker-Based Treatment of Acute Myeloid Leukemia,PREVIOUSLY UNTREATED ACUTE MYELOID LEUKEMIA,"February 08, 2021",2000,NCT03013998,SAMALIZUMAB (BAML-16-001-S1); BI 836858 (BAML-16-001-S2); LABORATORY BIOMARKER ANALYSIS; DAUNORUBICIN (BAML-16-001-S1); CYTARABINE (BAML-16-001-S1); AZACITIDINE (BAML-16-001-S2); AG-221 (BAML-16-001-S3); AZACITIDINE (BAML-16-001-S3); ENTOSPLETINIB (BAML-16-001-S4); AZACITIDINE (BAML-16-001-S4); ENTOSPLETINIB (BAML-16-001-S5); DECITABINE (BAML-16-001-S5); ENTOSPLETINIB (BAML-16-001-S6); DAUNORUBICIN (BAML-16-001-S6); CYTARABINE (BAML-16-001-S6); PEVONEDISTAT (BAML-16-001-S9); AZACITIDINE (BAML-16-001-S9); AG-120 (BAML-16-001-S16); AZACITIDINE (BAML-16-001-S16); GILTERITINIB (BAML-16-001-S8); DECITABINE (BAML-16-001-S8); ACALABRUTINIB (BAML-16-001-COV1); STANDARD THERAPY (BAML-16-001-COV1); AZD5153 (BAML-16-001-S10); VENETOCLAX (BAML-16-001-S10); TP-0903 (BAML-16-001-S14); DECITABINE (BAML-16-001-S14),UNITED STATES,Recruiting,"Beat AML, LLC",November 2016,Interventional,A Master Protocol for Biomarker-Based Treatment of AML (The Beat AML Trial)
21,An ACT-enhanced Weight Management and Fitness Program for Navy Personnel,OBESITY; OVERWEIGHT,"February 08, 2021",164,NCT03029507,ACT ENHANCED SHIPSHAPE; STANDARD SHIPSHAPE (SS),UNITED STATES,Recruiting,Veterans Medical Research Foundation,"December 8, 2017",Interventional,An Acceptance and Commitment Therapy (ACT)-Enhanced Weight Management and Fitness Program for Navy Personnel
22,Repair of Acute Respiratory Distress Syndrome by Stromal Cell Administration (REALIST) (COVID-19),ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",75,NCT03042143,HUMAN UMBILICAL CORD DERIVED CD362 ENRICHED MSCS; PLACEBO (PLASMA-LYTE 148),UNITED KINGDOM,Recruiting,Belfast Health and Social Care Trust,"January 7, 2019",Interventional,"Repair of Acute Respiratory Distress Syndrome by Stromal Cell Administration (REALIST): An Open Label Dose Escalation Phase 1 Trial Followed by a Randomized, Double-blind, Placebo-controlled Phase 2 Trial (COVID-19)"
23,"Evaluating the Infectivity, Safety, and Immunogenicity of a Single Dose of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine (D46/NS2/N/ΔM2-2-HindIII) in RSV-Seronegative Infants 6 to 24 Months of Age",RESPIRATORY SYNCYTIAL VIRUS INFECTIONS,"February 08, 2021",32,NCT03102034,D46/NS2/N/ΔM2-2-HINDIII; PLACEBO,UNITED STATES,Completed,National Institute of Allergy and Infectious Diseases (NIAID),"April 6, 2017",Interventional,"Phase I Placebo-Controlled Study of the Infectivity, Safety and Immunogenicity of a Single Dose of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine, D46/NS2/N/ΔM2-2-HindIII, Lot RSV#011B, Delivered as Nose Drops to RSV-Seronegative Infants 6 to 24 Months of Age"
24,A Study of the Efficacy and Safety of Risankizumab in Participants With Crohn's Disease,CROHN'S DISEASE,"February 08, 2021",1250,NCT03105102,PLACEBO FOR RISANKIZUMAB SC; RISANKIZUMAB IV; PLACEBO FOR RISANKIZUMAB IV; RISANKIZUMAB SC,ARGENTINA,Enrolling by invitation,AbbVie,"April 9, 2018",Interventional,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Crohn's Disease"
25,Strategies to Assist With Management of Pain,CHRONIC LOW BACK PAIN,"February 08, 2021",766,NCT03115359,MINDFULNESS MEDITATION; COGNITIVE BEHAVIORAL THERAPY,UNITED STATES,Recruiting,"University of Wisconsin, Madison","June 30, 2017",Interventional,A Comparative Effectiveness Randomized Controlled Trial of Mindfulness Meditation Versus Cognitive Behavioral Therapy for Opioid-Treated Chronic Low Back Pain
26,Tele-Exercise and Multiple Sclerosis,MULTIPLE SCLEROSIS,"February 08, 2021",833,NCT03117881,DIRECTCAM; TELECAM; RDIRECTCAM,UNITED STATES,Recruiting,University of Alabama at Birmingham,"January 8, 2018",Interventional,Comparative Effectiveness Trial Between a Clinic- and Home-Based Complementary and Alternative Medicine Telerehabilitation Intervention for Adults With Multiple Sclerosis (MS)
27,Impact of CMS Reimbursement Policy Supporting Care Coordination in Louisiana,"DIABETES MELLITUS, TYPE 2; CHRONIC DISEASE","February 08, 2021",22242,NCT03136471,,UNITED STATES,"Active, not recruiting",Tulane University,January 2017,Observational,Natural Experiments of the Impact of Population-Targeted Health Policies to Prevent Diabetes and Its Complications
28,Infant Mental Health-Home Visiting Randomized Controlled Trial,INFANT MENTAL HEALTH,"February 08, 2021",148,NCT03175796,INFANT MENTAL HEALTH-HOME VISITING,UNITED STATES,Completed,University of Michigan,"October 12, 2017",Interventional,Infant Mental Health-Home Visiting Randomized Controlled Trial
29,"Detection of Integrin avb6 in IPF, PSC, and COVID19 Using PET/CT",IDIOPATHIC PULMONARY FIBROSIS; PRIMARY SCLEROSING CHOLANGITIS; COVID PNEUMONIA,"February 08, 2021",30,NCT03183570,[18F]FP-R01-MG-F2,UNITED STATES,Recruiting,Stanford University,"November 8, 2017",Interventional,"Detection of Integrin avb6 in Idiopathic Pulmonary Fibrosis, Primary Sclerosing Cholangitis, and Coronavirus Disease 2019 With [18F]FP-R01-MG-F2 With PET/CT"
30,Efficacy of a High-intensity Physical Activity Program on Renal Function in High Risk Patients With Type 2 Diabetes,TYPE2 DIABETES; DIABETIC KIDNEY DISEASE,"February 08, 2021",300,NCT03184662,HIPA; COUNSELING PA,BELGIUM,Recruiting,Poitiers University Hospital,"February 12, 2018",Interventional,Randomized Trial to Assess the Efficacy of a High-intensity Physical Activity Program on Renal Function Decline in High Risk Patients With Type 2 Diabetes
31,The VITDALIZE Study: Effect of High-dose Vitamin D3 on 28-day Mortality in Adult Critically Ill Patients,CRITICAL ILLNESS; VITAMIN D DEFICIENCY; COVID,"February 08, 2021",2400,NCT03188796,CHOLECALCIFEROL; PLACEBO,AUSTRIA,Recruiting,Medical University of Graz,"October 10, 2017",Interventional,"The VITDALIZE Study: Effect of High-dose Vitamin D3 on 28-day Mortality in Adult Critically Ill Patients With Severe Vitamin D Deficiency: a Multicenter, Placebo-controlled Double-blind Phase III Randomized Controlled Trial (RCT)"
32,COMparison Between All immunoTherapies for Multiple Sclerosis.,RELAPSING-REMITTING MULTIPLE SCLEROSIS,"February 08, 2021",3526,NCT03193866,RITUXIMAB,SWEDEN,"Active, not recruiting",Karolinska Institutet,"February 1, 2017",Observational [Patient Registry],"COMparison Between All immunoTherapies for Multiple Sclerosis. An Observational Long-term Prospective Cohort Study of Safety, Efficacy and Patient's Satisfaction of MS Disease Modulatory Treatments in Relapsing-remitting Multiple Sclerosis"
33,Edtech-HPV: A Community Approach Using Education and Technology to Increase HPV Vaccination,PARENTS,"February 08, 2021",800,NCT03209713,HPV VACCINE EDUCATION; TEXT MESSAGING REMINDER,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"June 28, 2017",Interventional,Edtech-HPV: A Community Approach Using Education and Technology to Increase HPV Vaccination
34,TRACERx Renal CAPTURE Sub-study,RENAL CELL CARCINOMA; CANCER; HEALTHY VOLUNTEERS,"February 08, 2021",360,NCT03226886,,UNITED KINGDOM,Recruiting,Royal Marsden NHS Foundation Trust,"February 5, 2012",Observational,TRACERx Renal (TRAcking Renal Cell Carcinoma Evolution Through Therapy (Rx)) CAPTURE: COVID-19 Antiviral Response in a Pan-tumour Immune Study
